label,seed,protocol,wdr_mean_rate,gaba_mean_rate,wdr_peak_rate,wdr_isi_mean,wdr_isi_std,wdr_isi_cv,gaba_isi_mean,gaba_isi_std,gaba_isi_cv,wdr_windup_ratio,wdr_evoked_response,wdr_early_rate,wdr_late_rate,wdr_burst_count,wdr_burst_fraction,ei_ratio,wdr_active_fraction,wdr_total_spikes,gaba_total_spikes
healthy,768500831,constant,6.62,41.43333333333333,106.0,66.11250000000001,128.0699168179241,1.9371513226382922,23.63009068425392,13.36895148162618,0.5657596350459492,0.0,0.0,0.5,11.8,36.0,0.38972809667673713,0.1597747385358005,0.86,331.0,1243.0
healthy,1982904518,constant,17.64,34.833333333333336,110.0,38.138295318127255,64.86258360531134,1.7007205766347389,28.049359605911327,17.693078357295068,0.6307836829745767,0.0,0.0,5.1,32.4,98.0,0.41496598639455784,0.5064114832535885,0.98,882.0,1045.0
healthy,334708658,ramp,1.66,5.933333333333334,36.0,97.16399999999997,81.19812992920465,0.8356812186530472,113.49594594594593,89.02179499181449,0.7843610117511368,0.04,0.002,0.0,3.8,0.0,0.0,0.2797752808988764,0.66,83.0,178.0
healthy,1522643591,constant,15.6,7.033333333333333,58.0,52.91849315068493,51.52014608407012,0.9735754556987662,115.37252747252747,100.58528672027981,0.871830486198122,0.0,0.0,7.5,17.1,1.0,0.0038461538461538464,2.2180094786729856,1.0,780.0,211.0
healthy,921828104,burst,0.02,22.133333333333333,2.0,0.0,0.0,0.0,45.37823343848581,36.748230276096315,0.809820645087733,0.0,0.0,0.1,0.0,0.0,0.0,0.0009036144578313253,0.02,1.0,664.0
healthy,1702205587,mixed,0.0,111.16666666666667,0.0,0.0,0.0,0.0,8.927170953101362,2.852999591873243,0.3195860824063295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.0
healthy,489776228,constant,1.02,48.3,24.0,101.13055555555555,112.97409442346714,1.117111379472304,20.02015503875969,9.60083621732009,0.47955853482315947,0.0,0.0,0.0,1.7,1.0,0.058823529411764705,0.02111801242236025,0.3,51.0,1449.0
healthy,606187739,constant,0.88,49.666666666666664,24.0,76.10769230769228,101.9747892036855,1.3398749339477583,19.643013698630135,10.021335416019179,0.5101730095885463,0.0,0.0,0.0,0.2,1.0,0.06818181818181818,0.01771812080536913,0.36,44.0,1490.0
healthy,1918878899,constant,22.16,27.0,92.0,31.473913043478262,41.07619458779921,1.3050869947774302,35.978205128205126,24.69632770082711,0.686424673293844,0.0,0.0,8.9,15.5,73.0,0.23736462093862815,0.8207407407407408,1.0,1108.0,810.0
healthy,867782439,mixed,0.0,188.83333333333334,0.0,0.0,0.0,0.0,5.262023070097604,0.9764242151416437,0.18556061084003042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5665.0
